Class ID,Display Name,Detection Count,Median Distance (m),Mean Distance (m),Min Distance (m),Max Distance (m)
15,<not mapped>,9,0.343,0.819,0.343,4.6
17,<not mapped>,13,0.343,14.032,0.343,43.704
13,black_contour,20,0.343,0.591,0.343,3.237
90,<not mapped>,11,0.36,1.854,0.345,7.946
11,9,19,0.388,0.835,0.343,5.463
10,8,25,0.414,0.951,0.343,4.856
20,<not mapped>,30,0.787,4.755,0.343,14.568
8,6,29,0.865,0.812,0.343,1.9
7,5,47,0.93,1.441,0.343,9.712
6,4,159,1.214,1.816,0.343,10.926
5,3,290,1.457,3.538,0.343,12.487
31,<not mapped>,179,1.748,5.434,0.343,17.481
81,<not mapped>,26,3.362,3.811,0.343,7.946
73,<not mapped>,29,3.496,4.551,3.362,14.568
65,<not mapped>,34,3.642,3.622,0.343,8.741
58,<not mapped>,22,4.162,4.923,0.343,14.568
23,<not mapped>,42,4.162,5.871,0.343,14.568
35,<not mapped>,206,5.827,8.027,0.343,29.136
40,<not mapped>,180,6.243,9.333,0.657,17.481
51,<not mapped>,28,6.243,7.461,0.343,17.481
27,<not mapped>,84,9.712,8.262,0.343,29.136
45,<not mapped>,60,14.568,10.704,0.343,14.568
