produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,custom_data
1765440674809,CameraCapture,-2910330649971625320,frame_captured,54096007,{"width":1536, "height":864}
1765440674844,CameraCapture,-2910330649971625320,frame_captured,54096040,{"width":1536, "height":864}
1765440674877,CameraCapture,-2910330649971625320,frame_captured,54096074,{"width":1536, "height":864}
1765440674909,CameraCapture,-2910330649971625320,frame_captured,54096107,{"width":1536, "height":864}
1765440674941,CameraCapture,-2910330649971625320,frame_captured,54096140,{"width":1536, "height":864}
1765440675008,CameraCapture,-2910330649971625320,frame_captured,54096207,{"width":1536, "height":864}
1765440675077,CameraCapture,-2910330649971625320,frame_captured,54096274,{"width":1536, "height":864}
1765440675144,CameraCapture,-2910330649971625320,frame_captured,54096341,{"width":1536, "height":864}
1765440675212,CameraCapture,-2910330649971625320,frame_captured,54096409,{"width":1536, "height":864}
1765440675278,CameraCapture,-2910330649971625320,frame_captured,54096476,{"width":1536, "height":864}
1765440675348,CameraCapture,-2910330649971625320,frame_captured,54096543,{"width":1536, "height":864}
1765440675413,CameraCapture,-2910330649971625320,frame_captured,54096610,{"width":1536, "height":864}
1765440675478,CameraCapture,-2910330649971625320,frame_captured,54096677,{"width":1536, "height":864}
1765440675546,CameraCapture,-2910330649971625320,frame_captured,54096744,{"width":1536, "height":864}
1765440675614,CameraCapture,-2910330649971625320,frame_captured,54096811,{"width":1536, "height":864}
1765440675680,CameraCapture,-2910330649971625320,frame_captured,54096878,{"width":1536, "height":864}
1765440675746,CameraCapture,-2910330649971625320,frame_captured,54096945,{"width":1536, "height":864}
1765440675815,CameraCapture,-2910330649971625320,frame_captured,54097012,{"width":1536, "height":864}
1765440675881,CameraCapture,-2910330649971625320,frame_captured,54097080,{"width":1536, "height":864}
1765440675949,CameraCapture,-2910330649971625320,frame_captured,54097147,{"width":1536, "height":864}
1765440676015,CameraCapture,-2910330649971625320,frame_captured,54097214,{"width":1536, "height":864}
1765440676083,CameraCapture,-2910330649971625320,frame_captured,54097281,{"width":1536, "height":864}
1765440676151,CameraCapture,-2910330649971625320,frame_captured,54097348,{"width":1536, "height":864}
1765440676217,CameraCapture,-2910330649971625320,frame_captured,54097415,{"width":1536, "height":864}
1765440676283,CameraCapture,-2910330649971625320,frame_captured,54097482,{"width":1536, "height":864}
1765440676351,CameraCapture,-2910330649971625320,frame_captured,54097549,{"width":1536, "height":864}
1765440676418,CameraCapture,-2910330649971625320,frame_captured,54097616,{"width":1536, "height":864}
1765440676486,CameraCapture,-2910330649971625320,frame_captured,54097683,{"width":1536, "height":864}
1765440676552,CameraCapture,-2910330649971625320,frame_captured,54097751,{"width":1536, "height":864}
1765440676620,CameraCapture,-2910330649971625320,frame_captured,54097818,{"width":1536, "height":864}
1765440676687,CameraCapture,-2910330649971625320,frame_captured,54097885,{"width":1536, "height":864}
1765440676754,CameraCapture,-2910330649971625320,frame_captured,54097952,{"width":1536, "height":864}
1765440676820,CameraCapture,-2910330649971625320,frame_captured,54098019,{"width":1536, "height":864}
1765440676888,CameraCapture,-2910330649971625320,frame_captured,54098086,{"width":1536, "height":864}
1765440676955,CameraCapture,-2910330649971625320,frame_captured,54098153,{"width":1536, "height":864}
1765440677023,CameraCapture,-2910330649971625320,frame_captured,54098220,{"width":1536, "height":864}
1765440677089,CameraCapture,-2910330649971625320,frame_captured,54098287,{"width":1536, "height":864}
1765440677156,CameraCapture,-2910330649971625320,frame_captured,54098354,{"width":1536, "height":864}
1765440677223,CameraCapture,-2910330649971625320,frame_captured,54098421,{"width":1536, "height":864}
1765440677291,CameraCapture,-2910330649971625320,frame_captured,54098489,{"width":1536, "height":864}
1765440677357,CameraCapture,-2910330649971625320,frame_captured,54098556,{"width":1536, "height":864}
1765440677425,CameraCapture,-2910330649971625320,frame_captured,54098623,{"width":1536, "height":864}
1765440677492,CameraCapture,-2910330649971625320,frame_captured,54098690,{"width":1536, "height":864}
1765440677559,CameraCapture,-2910330649971625320,frame_captured,54098757,{"width":1536, "height":864}
1765440677625,CameraCapture,-2910330649971625320,frame_captured,54098824,{"width":1536, "height":864}
1765440677693,CameraCapture,-2910330649971625320,frame_captured,54098891,{"width":1536, "height":864}
1765440677760,CameraCapture,-2910330649971625320,frame_captured,54098958,{"width":1536, "height":864}
1765440677827,CameraCapture,-2910330649971625320,frame_captured,54099025,{"width":1536, "height":864}
1765440677894,CameraCapture,-2910330649971625320,frame_captured,54099092,{"width":1536, "height":864}
1765440677961,CameraCapture,-2910330649971625320,frame_captured,54099160,{"width":1536, "height":864}
1765440678029,CameraCapture,-2910330649971625320,frame_captured,54099227,{"width":1536, "height":864}
1765440678096,CameraCapture,-2910330649971625320,frame_captured,54099294,{"width":1536, "height":864}
1765440678162,CameraCapture,-2910330649971625320,frame_captured,54099361,{"width":1536, "height":864}
1765440678230,CameraCapture,-2910330649971625320,frame_captured,54099428,{"width":1536, "height":864}
1765440678297,CameraCapture,-2910330649971625320,frame_captured,54099495,{"width":1536, "height":864}
