produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,camera_frame_id,camera_width,camera_height,camera_exposure_ms,camera_copy_time_ms,tpu_inference_ms,tpu_input_w,tpu_input_h,tpu_temp_c,encoder_encode_ms,encoder_total_encoded_frames,encoder_average_fps,logic_metric_ballistics,logic_metric_hit_scan,logic_metric_servo_actuation,sysmon_cpu_temp_c,sysmon_cpu_usage_percent,sysmon_mem_usage_percent,p50_latency_ms,p95_latency_ms,p99_latency_ms,average_fps,total_frames_processed_or_inferences,average_latency_ms,details
1765570211489,CameraCapture,2932982541295448465,frame_captured_main,1765570211010,0,1536,864,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211489,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211010,0,300,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211522,CameraCapture,2932982541295448465,frame_captured_main,1765570211043,1,1536,864,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211522,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211043,1,300,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211556,CameraCapture,2932982541295448465,frame_captured_main,1765570211075,2,1536,864,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211556,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211075,2,300,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211588,CameraCapture,2932982541295448465,frame_captured_main,1765570211109,3,1536,864,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211588,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211109,3,300,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211623,CameraCapture,2932982541295448465,frame_captured_main,1765570211142,4,1536,864,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211623,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211142,4,300,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211660,CameraCapture,2932982541295448465,frame_captured_main,1765570211182,5,1536,864,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211660,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211182,5,300,300,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211703,CameraCapture,2932982541295448465,frame_captured_main,1765570211223,6,1536,864,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211703,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211223,6,300,300,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211741,CameraCapture,2932982541295448465,frame_captured_main,1765570211262,7,1536,864,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211741,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211262,7,300,300,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211782,CameraCapture,2932982541295448465,frame_captured_main,1765570211301,8,1536,864,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211782,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211301,8,300,300,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211823,CameraCapture,2932982541295448465,frame_captured_main,1765570211345,9,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211823,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211345,9,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211868,CameraCapture,2932982541295448465,frame_captured_main,1765570211388,10,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211868,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211388,10,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211911,CameraCapture,2932982541295448465,frame_captured_main,1765570211432,11,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211911,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211432,11,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211955,CameraCapture,2932982541295448465,frame_captured_main,1765570211476,12,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211955,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211476,12,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211997,CameraCapture,2932982541295448465,frame_captured_main,1765570211519,13,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570211997,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211519,13,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212042,CameraCapture,2932982541295448465,frame_captured_main,1765570211563,14,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212042,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211563,14,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212087,CameraCapture,2932982541295448465,frame_captured_main,1765570211607,15,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212087,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211607,15,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212130,CameraCapture,2932982541295448465,frame_captured_main,1765570211651,16,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212130,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211651,16,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212172,CameraCapture,2932982541295448465,frame_captured_main,1765570211694,17,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212172,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211694,17,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212217,CameraCapture,2932982541295448465,frame_captured_main,1765570211738,18,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212217,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211738,18,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212261,CameraCapture,2932982541295448465,frame_captured_main,1765570211782,19,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212261,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211782,19,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212305,CameraCapture,2932982541295448465,frame_captured_main,1765570211826,20,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212305,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211826,20,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212348,CameraCapture,2932982541295448465,frame_captured_main,1765570211869,21,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212348,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211869,21,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212392,CameraCapture,2932982541295448465,frame_captured_main,1765570211913,22,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212392,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211913,22,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212437,CameraCapture,2932982541295448465,frame_captured_main,1765570211957,23,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212437,CameraCapture,2932982541295448465,frame_captured_tpu,1765570211957,23,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212480,CameraCapture,2932982541295448465,frame_captured_main,1765570212001,24,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212480,CameraCapture,2932982541295448465,frame_captured_tpu,1765570212001,24,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212522,CameraCapture,2932982541295448465,frame_captured_main,1765570212044,25,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212522,CameraCapture,2932982541295448465,frame_captured_tpu,1765570212044,25,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212567,CameraCapture,2932982541295448465,frame_captured_main,1765570212087,26,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212567,CameraCapture,2932982541295448465,frame_captured_tpu,1765570212087,26,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212733,CameraCapture,2932982541295448465,frame_captured_main,1765570212131,27,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212733,CameraCapture,2932982541295448465,frame_captured_tpu,1765570212131,27,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212735,CameraCapture,2932982541295448465,frame_captured_main,1765570212175,28,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212735,CameraCapture,2932982541295448465,frame_captured_tpu,1765570212175,28,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212737,CameraCapture,2932982541295448465,frame_captured_main,1765570212219,29,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212737,CameraCapture,2932982541295448465,frame_captured_tpu,1765570212219,29,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212746,CameraCapture,2932982541295448465,frame_captured_main,1765570212262,30,1536,864,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570212746,CameraCapture,2932982541295448465,frame_captured_tpu,1765570212262,30,300,300,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
