produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,camera_frame_id,camera_width,camera_height,camera_exposure_ms,camera_copy_time_ms,tpu_inference_ms,tpu_input_w,tpu_input_h,tpu_temp_c,encoder_encode_ms,encoder_total_encoded_frames,encoder_average_fps,logic_metric_ballistics,logic_metric_hit_scan,logic_metric_servo_actuation,sysmon_cpu_temp_c,sysmon_cpu_usage_percent,sysmon_mem_usage_percent,p50_latency_ms,p95_latency_ms,p99_latency_ms,average_fps,total_frames_processed_or_inferences,average_latency_ms,details
1765476559327,LogicModule,-5281194676610336255,logic_done,1765476559033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,292,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476559938,LogicModule,-5281194676610336255,logic_done,1765476559101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,611,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476560801,LogicModule,-5281194676610336255,logic_done,1765476559170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,862,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476561976,LogicModule,-5281194676610336255,logic_done,1765476559237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1175,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476563435,LogicModule,-5281194676610336255,logic_done,1765476559319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1458,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476565189,LogicModule,-5281194676610336255,logic_done,1765476559389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1754,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476566897,LogicModule,-5281194676610336255,logic_done,1765476559440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1707,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476568595,LogicModule,-5281194676610336255,logic_done,1765476559522,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1698,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476570293,LogicModule,-5281194676610336255,logic_done,1765476559570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1698,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476572027,LogicModule,-5281194676610336255,logic_done,1765476559640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1733,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476573737,LogicModule,-5281194676610336255,logic_done,1765476559708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1709,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476575464,LogicModule,-5281194676610336255,logic_done,1765476559776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1727,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476577161,LogicModule,-5281194676610336255,logic_done,1765476559839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1697,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
