produced_ts_epoch_ms,call_ts_epoch_ms,module,event,thread_id,cam_frame_id,cam_exposure_ms,cam_isp_latency_ms,cam_buffer_usage_percent,image_proc_ms,tpu_inference_ms,tpu_temp_c,tpu_model_score,tpu_class_id,logic_target_dist_m,logic_ballistic_drop_m,logic_windage_m,logic_servo_x_cmd,logic_servo_y_cmd,logic_solution_time_ms,enc_process_ms,enc_bitrate_mbps,enc_queue_depth,sys_cpu_temp_c,sys_cpu_usage_pct,sys_ram_usage_pct,sys_voltage_v
430,430,SystemMonitor,system_stats,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.15,25,51.5966,0
627,628,CameraCapture,frame_captured,0,0,7,0.208779,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
658,658,CameraCapture,frame_captured,0,1,7,0.247103,0.666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
670,671,ImageProcessor_TPU,frame_processed,0,0,7,0.777808,0.666667,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
670,671,ImageProcessor_TPU,frame_processed,0,1,7,0.807243,1.33333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697,698,CameraCapture,frame_captured,0,2,7,1.85512,1.66667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
703,704,ImageProcessor_TPU,frame_processed,0,2,7,2.54056,2.33333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
708,709,InferenceEngine,inference_complete,0,0,NaN,NaN,NaN,3,31.623,0,0.996066,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
708,627,Logic,frame_complete,-268457733656721424,0,7,0.777808,0.666667,3,32,0,0.996066,13,0,0,0,0.5,0.5,0,0,0,0,61.15,25,51.5966,0
709,710,ImageProcessor_Viz,frame_processed,0,0,7,0.353062,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717,718,ImageProcessor_Viz,frame_processed,0,1,7,0.346525,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
726,727,ImageProcessor_Viz,frame_processed,0,2,7,0.4456,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
729,729,CameraCapture,frame_captured,0,3,7,0.433649,3.33333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
733,733,ImageProcessor_TPU,frame_processed,0,3,7,1.72827,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737,738,InferenceEngine,inference_complete,0,1,NaN,NaN,NaN,0,28.477,0,0.996066,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737,657,Logic,frame_complete,-268457733656721424,1,7,0.807243,1.33333,0,29,0,0.996066,13,0,0,0,0.5,0.5,0,0,0,0,61.15,25,51.5966,0
737,738,ImageProcessor_Viz,frame_processed,0,3,7,0.791774,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
756,756,InferenceEngine,inference_complete,0,2,NaN,NaN,NaN,0,18.654,0,0.996066,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
756,697,Logic,frame_complete,-268457733656721424,2,7,2.54056,2.33333,0,19,0,0.996066,13,1.4515,0.352384,0.0451702,0.5,0.5,19.144,0,0,0,61.15,25,51.5966,0
758,759,CameraCapture,frame_captured,0,4,7,0.175192,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
759,760,ImageProcessor_TPU,frame_processed,0,4,7,0.718998,4.66667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
767,767,ImageProcessor_Viz,frame_processed,0,4,7,0.328821,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
775,776,InferenceEngine,inference_complete,0,3,NaN,NaN,NaN,1,19.059,0,0.996066,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
776,728,Logic,frame_complete,-268457733656721424,3,7,1.72827,4,1,19,0,0.996066,13,1.34699,-0.0232679,0.00291043,0.501707,0.405533,19.308,0,0,0,61.15,25,51.5966,0
791,791,CameraCapture,frame_captured,0,5,7,0.321562,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
792,793,ImageProcessor_TPU,frame_processed,0,5,7,0.971185,5.66667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
794,795,InferenceEngine,inference_complete,0,4,NaN,NaN,NaN,0,18.775,0,0.996066,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
795,757,Logic,frame_complete,-268457733656721424,4,7,0.718998,4.66667,0,19,0,0.996066,13,1.24248,-0.0180989,-0.00113731,0.500728,0.406321,19.231,0,0,0,61.15,25,51.5966,0
799,800,ImageProcessor_Viz,frame_processed,0,5,7,0.375081,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
813,814,InferenceEngine,inference_complete,0,5,NaN,NaN,NaN,0,18.623,0,0.996066,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
813,790,Logic,frame_complete,-268457733656721424,5,7,0.971185,5.66667,0,18,0,0.996066,13,1.24248,-0.021685,0.000466098,0.501139,0.405481,18.648,0,0,0,61.15,25,51.5966,0
822,823,CameraCapture,frame_captured,0,6,7,0.156452,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
