produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,camera_frame_id,camera_width,camera_height,camera_exposure_ms,camera_copy_time_ms,tpu_inference_ms,tpu_input_w,tpu_input_h,tpu_temp_c,encoder_encode_ms,encoder_total_encoded_frames,encoder_average_fps,logic_metric_ballistics,logic_metric_hit_scan,logic_metric_servo_actuation,sysmon_cpu_temp_c,sysmon_cpu_usage_percent,sysmon_mem_usage_percent,p50_latency_ms,p95_latency_ms,p99_latency_ms,average_fps,total_frames_processed_or_inferences,average_latency_ms,details
1765656492370,InferenceEngine,-3758616519880272217,inference_done,1765656492178,-1,-1,-1,-1,-1,28,300,300,33.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492400,InferenceEngine,-8280865062971915625,inference_done,1765656492212,-1,-1,-1,-1,-1,27,300,300,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492432,InferenceEngine,-1509231479056367565,inference_done,1765656492245,-1,-1,-1,-1,-1,28,300,300,33.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492448,InferenceEngine,-8280865062971915625,inference_done,1765656492278,-1,-1,-1,-1,-1,7,300,300,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492480,InferenceEngine,-3758616519880272217,inference_done,1765656492312,-1,-1,-1,-1,-1,8,300,300,33.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492528,InferenceEngine,-8280865062971915625,inference_done,1765656492362,-1,-1,-1,-1,-1,8,300,300,32.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492578,InferenceEngine,-3758616519880272217,inference_done,1765656492412,-1,-1,-1,-1,-1,7,300,300,33.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492632,InferenceEngine,-1509231479056367565,inference_done,1765656492464,-1,-1,-1,-1,-1,8,300,300,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492682,InferenceEngine,-1509231479056367565,inference_done,1765656492514,-1,-1,-1,-1,-1,8,300,300,33.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492729,InferenceEngine,-1509231479056367565,inference_done,1765656492564,-1,-1,-1,-1,-1,7,300,300,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492805,InferenceEngine,1357834016361305351,inference_done,1765656492614,-1,-1,-1,-1,-1,27,300,300,33.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492833,InferenceEngine,1357834016361305351,inference_done,1765656492665,-1,-1,-1,-1,-1,8,300,300,33.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492880,InferenceEngine,-3758616519880272217,inference_done,1765656492715,-1,-1,-1,-1,-1,7,300,300,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492931,InferenceEngine,-8280865062971915625,inference_done,1765656492765,-1,-1,-1,-1,-1,7,300,300,32.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492982,InferenceEngine,1357834016361305351,inference_done,1765656492816,-1,-1,-1,-1,-1,8,300,300,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656493040,InferenceEngine,-8280865062971915625,inference_done,1765656492866,-1,-1,-1,-1,-1,7,300,300,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656493087,InferenceEngine,-8280865062971915625,inference_done,1765656492917,-1,-1,-1,-1,-1,7,300,300,33.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656493135,InferenceEngine,-8280865062971915625,inference_done,1765656492968,-1,-1,-1,-1,-1,7,300,300,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
